,ASPECT,BHDG,CAMPBELL,CRABEL,EVESPREAD,FORT,H2O,MOODY,QIM,QUANT,QUANTICA,QUEST
ASPECT,0.000964598,0.001245491,0.00141794,0.000454593,-0.000116025,0.00061,-1.57E-05,0.000123328,-8.38E-05,0.000148936,0.000757445,0.001148921
BHDG,0.001245491,0.002435373,0.002134046,0.000598844,0.000210547,0.001008436,-0.000316425,0.000243407,0.000175357,0.000340552,0.001603868,0.002502937
CAMPBELL,0.00141794,0.002134046,0.002870478,0.000735883,4.75E-05,0.000971792,0.000259587,0.000241282,-0.000205636,0.000265232,0.001201291,0.002277173
CRABEL,0.000454593,0.000598844,0.000735883,0.001081425,-0.000220326,0.000474969,-0.000277082,4.24E-05,0.00011378,6.03E-05,0.000645218,0.000798994
EVESPREAD,-0.000116025,0.000210547,4.75E-05,-0.000220326,0.002115308,-0.000179707,-0.000125193,-0.00012111,4.48E-05,-0.000395203,7.10E-05,-6.89E-05
FORT,0.00061,0.001008436,0.000971792,0.000474969,-0.000179707,0.00104871,-0.000406169,4.11E-05,4.13E-05,0.00018978,0.001048035,0.0012414
H2O,-1.57E-05,-0.000316425,0.000259587,-0.000277082,-0.000125193,-0.000406169,0.003398563,0.000276014,-0.000242245,0.000478249,-0.000652525,-0.000492771
MOODY,0.000123328,0.000243407,0.000241282,4.24E-05,-0.00012111,4.11E-05,0.000276014,0.000269528,1.58E-05,0.000174708,2.91E-05,0.000160565
QIM,-8.38E-05,0.000175357,-0.000205636,0.00011378,4.48E-05,4.13E-05,-0.000242245,1.58E-05,0.001331859,-0.000503767,-6.22E-05,0.000238491
QUANT,0.000148936,0.000340552,0.000265232,6.03E-05,-0.000395203,0.00018978,0.000478249,0.000174708,-0.000503767,0.000765178,0.000414511,0.00042392
QUANTICA,0.000757445,0.001603868,0.001201291,0.000645218,7.10E-05,0.001048035,-0.000652525,2.91E-05,-6.22E-05,0.000414511,0.001826203,0.001885761
QUEST,0.001148921,0.002502937,0.002277173,0.000798994,-6.89E-05,0.0012414,-0.000492771,0.000160565,0.000238491,0.00042392,0.001885761,0.003383906
q,0,0,0,0,0,0,0,0,0,0,0,0
mu,0.001563889,0.003827778,0.001927778,0.003822222,0.003958333,0.003336111,0.007208333,-0.000627778,0.006233333,0.000952778,0.001611111,0.002094444
,1,1,1,1,1,1,1,1,1,1,1,1
,1,0,0,0,0,0,0,0,0,0,0,0
,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,1,0,0,0,0,0,0,0,0,0
,0,0,0,1,0,0,0,0,0,0,0,0
,0,0,0,0,1,0,0,0,0,0,0,0
,0,0,0,0,0,1,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,0,0
,0,0,0,0,0,0,0,1,0,0,0,0
,0,0,0,0,0,0,0,0,1,0,0,0
,0,0,0,0,0,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,1,0
,0,0,0,0,0,0,0,0,0,0,0,1
l,0,1,0,0,0,0,0,0,0,0,0,0
u,0.01,1,1,1,1,1,1,1,1,1,1,1
